Geography,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories 5,Nunavut 5,Notes
Q1 1975,"22,979,190","552,812","117,031","823,084","671,135","6,299,783","8,260,161","1,019,529","910,276","1,782,575","2,479,085","21,580",..,..,"Statistics Canada, Table 17-10-0009-01 Population estiamtes, quarterly"
Q2 1975,"23,048,990","554,166","117,316","824,791","673,918","6,310,999","8,284,503","1,021,824","913,118","1,795,097","2,489,116","21,692",..,..,
Q3 1975,"23,143,275","556,496","117,724","826,549","677,008","6,330,303","8,319,795","1,024,975","917,415","1,808,689","2,499,564","21,908",..,..,
Q4 1975,"23,240,585","558,900","118,009","830,351","682,086","6,348,244","8,352,911","1,026,093","922,468","1,825,051","2,510,751","22,214",..,..,
Q1 1976,"23,304,197","560,024","118,264","832,765","685,155","6,362,125","8,366,498","1,028,134","925,570","1,839,191","2,520,425","22,259",..,..,
Q2 1976,"23,369,845","560,856","118,298","833,741","687,521","6,377,976","8,387,985","1,030,093","928,697","1,852,651","2,525,812","22,263",..,..,
Q3 1976,"23,449,808","562,639","118,648","835,166","689,494","6,396,761","8,413,779","1,031,758","931,612","1,869,287","2,533,899","22,441",..,..,
Q4 1976,"23,533,565","563,591","118,925","837,578","690,936","6,404,158","8,438,765","1,033,171","936,235","1,896,466","2,546,813","22,509",..,..,
Q1 1977,"23,591,713","563,387","119,121","838,385","691,810","6,412,575","8,458,617","1,034,113","938,455","1,914,570","2,554,051","22,262",..,..,
Q2 1977,"23,656,739","564,217","119,297","839,315","693,580","6,423,152","8,481,322","1,035,920","941,297","1,931,214","2,560,711","22,308",..,..,
Q3 1977,"23,725,843","565,348","119,902","840,028","695,843","6,433,133","8,504,080","1,037,369","944,621","1,948,263","2,570,315","22,462",..,..,
Q4 1977,"23,801,445","566,116","120,459","842,051","696,378","6,431,509","8,530,102","1,038,470","947,400","1,974,721","2,586,668","22,747",..,..,
Q1 1978,"23,849,503","565,981","120,764","842,961","696,872","6,432,019","8,548,453","1,038,859","948,753","1,991,454","2,595,858","22,668",..,..,
Q2 1978,"23,903,687","566,671","121,014","843,663","697,851","6,436,705","8,569,298","1,040,028","950,365","2,006,745","2,603,502","22,834",..,..,
Q3 1978,"23,963,203","567,639","121,684","844,628","699,514","6,440,459","8,590,144","1,040,881","952,430","2,022,241","2,615,162","23,157",..,..,
Q4 1978,"24,025,447","568,417","121,952","846,612","699,937","6,442,774","8,604,263","1,038,528","954,473","2,047,919","2,632,020","23,120",..,..,
Q1 1979,"24,071,889","568,329","122,104","847,511","700,237","6,446,529","8,619,239","1,037,449","955,552","2,064,776","2,641,872","22,845",..,..,
Q2 1979,"24,128,180","569,012","122,277","848,272","701,261","6,455,295","8,638,099","1,037,417","957,375","2,079,840","2,650,940","22,845",..,..,
Q3 1979,"24,201,544","570,075","122,885","849,396","703,158","6,465,996","8,662,088","1,037,272","959,735","2,096,966","2,665,238","22,972",..,..,
Q4 1979,"24,279,044","570,976","123,002","850,336","703,038","6,472,095","8,674,941","1,034,189","961,723","2,128,647","2,691,121","23,036",..,..,
Q1 1980,"24,345,365","570,899","123,109","850,915","703,538","6,480,428","8,693,157","1,033,557","963,231","2,149,996","2,707,690","22,834",..,..,
Q2 1980,"24,418,295","571,554","123,275","851,541","704,475","6,492,192","8,715,218","1,033,985","965,215","2,168,863","2,722,921","22,876",..,..,
Q3 1980,"24,515,667","572,759","123,735","852,659","706,219","6,505,997","8,746,013","1,034,435","967,548","2,191,029","2,745,861","23,019",..,..,
Q4 1980,"24,603,534","573,582","123,445","853,389","705,237","6,515,323","8,757,388","1,034,017","970,183","2,227,159","2,773,680","23,380",..,..,
Q1 1981,"24,665,355","573,420","123,315","853,673","704,763","6,523,258","8,770,591","1,033,968","971,544","2,249,907","2,790,754","23,311",..,..,
Q2 1981,"24,732,826","574,199","123,285","854,024","705,241","6,534,508","8,787,156","1,034,805","973,372","2,270,227","2,805,394","23,517",..,..,
Q3 1981,"24,819,915","575,302","123,551","854,871","706,438","6,547,207","8,812,286","1,035,545","975,759","2,291,104","2,826,558","23,880",..,..,
Q4 1981,"24,920,120","575,276","123,496","857,038","706,008","6,558,545","8,846,005","1,037,183","979,469","2,319,715","2,845,212","24,120",..,..,
Q1 1982,"24,979,229","573,343","123,335","857,469","705,608","6,565,745","8,865,774","1,039,300","981,559","2,337,458","2,857,268","24,302",..,..,
Q2 1982,"25,042,069","573,292","123,225","857,592","706,179","6,572,316","8,892,646","1,042,251","983,744","2,352,042","2,865,557","24,571",..,..,
Q3 1982,"25,116,942","573,795","123,588","859,038","707,457","6,580,631","8,920,288","1,045,224","986,582","2,369,827","2,876,513","24,668",..,..,
Q4 1982,"25,193,538","575,898","123,919","862,255","709,894","6,584,666","8,957,042","1,049,816","991,621","2,378,405","2,885,875","24,320",..,..,
Q1 1983,"25,242,830","576,813","124,181","864,117","711,021","6,588,636","8,982,933","1,052,538","993,810","2,383,354","2,891,441","23,838",..,..,
Q2 1983,"25,300,372","577,523","124,479","865,796","712,338","6,595,846","9,010,994","1,055,586","997,100","2,388,090","2,898,574","23,702",..,..,
Q3 1983,"25,366,451","579,164","125,102","868,289","714,842","6,602,976","9,039,564","1,059,752","1,001,249","2,393,587","2,907,502","23,664",..,..,
Q4 1983,"25,434,150","579,603","125,634","872,143","716,531","6,608,417","9,074,145","1,063,952","1,005,175","2,394,239","2,919,166","23,760",..,..,
Q1 1984,"25,482,358","579,558","125,906","874,076","717,434","6,613,628","9,100,590","1,066,222","1,007,484","2,394,892","2,927,258","23,544",..,..,
Q2 1984,"25,539,861","579,810","126,184","875,922","718,627","6,621,748","9,129,833","1,069,201","1,010,840","2,396,706","2,935,384","23,603",..,..,
Q3 1984,"25,607,053","580,065","126,563","877,471","720,488","6,631,220","9,167,484","1,071,810","1,014,615","2,393,907","2,947,181","23,921",..,..,
Q4 1984,"25,677,668","579,356","126,877","881,323","721,509","6,640,276","9,210,346","1,075,088","1,018,785","2,390,913","2,956,332","24,168",..,..,
Q1 1985,"25,721,170","579,043","127,330","883,012","721,932","6,645,778","9,230,294","1,078,327","1,020,040","2,395,813","2,962,108","24,156",..,..,
Q2 1985,"25,774,717","579,320","127,486","884,525","722,406","6,654,729","9,256,175","1,081,013","1,021,914","2,401,499","2,967,584","24,245",..,..,
Q3 1985,"25,842,116","579,275","127,619","885,848","723,287","6,665,802","9,294,657","1,082,495","1,024,928","2,404,490","2,975,131","24,375",..,..,
Q4 1985,"25,914,797","577,784","127,864","887,408","723,955","6,676,959","9,338,435","1,085,016","1,027,418","2,407,001","2,984,237","24,458",..,..,
Q1 1986,"25,962,414","577,248","128,256","887,435","724,277","6,684,699","9,362,036","1,087,851","1,027,137","2,415,590","2,988,964","24,359",..,..,
Q2 1986,"26,019,615","577,105","128,403","888,157","724,432","6,693,133","9,391,784","1,090,433","1,027,812","2,424,950","2,994,267","24,364",..,..,
Q3 1986,"26,100,278","576,306","128,436","889,087","725,019","6,708,170","9,437,359","1,091,552","1,028,717","2,432,930","3,003,621","24,430",..,..,
Q4 1986,"26,187,639","575,396","128,281","891,078","725,304","6,727,250","9,493,289","1,092,636","1,029,554","2,429,949","3,015,876","24,782",..,..,
Q1 1987,"26,256,140","575,586","128,429","891,424","725,368","6,745,101","9,531,478","1,094,659","1,029,639","2,432,958","3,021,900","25,125",..,..,
Q2 1987,"26,346,370","575,802","128,645","891,908","726,566","6,765,059","9,577,947","1,097,076","1,031,336","2,439,074","3,032,807","25,386",..,..,
Q3 1987,"26,446,601","575,242","128,641","893,606","727,768","6,781,984","9,637,945","1,098,373","1,032,799","2,440,877","3,048,651","25,706",..,..,
Q4 1987,"26,542,370","574,094","128,758","894,585","728,100","6,796,640","9,702,789","1,098,195","1,031,995","2,437,537","3,068,995","25,808",..,..,
Q1 1988,"26,602,328","574,543","129,152","894,600","728,401","6,805,203","9,735,171","1,099,782","1,029,527","2,443,396","3,081,368","25,902",..,..,
Q2 1988,"26,679,165","574,912","129,242","895,638","729,079","6,818,248","9,774,964","1,101,404","1,028,590","2,450,646","3,094,274","26,335",..,..,
Q3 1988,"26,791,747","574,982","129,289","897,216","730,349","6,837,077","9,838,620","1,102,152","1,028,225","2,456,614","3,114,761","26,653",..,..,
Q4 1988,"26,932,655","574,645","129,327","899,462","731,671","6,864,044","9,917,210","1,101,074","1,025,453","2,465,242","3,141,854","26,582",..,..,
Q1 1989,"27,032,356","575,626","129,984","900,270","732,462","6,882,602","9,969,308","1,101,544","1,021,497","2,477,533","3,158,092","26,898",..,..,
Q2 1989,"27,147,776","576,458","130,192","901,341","733,872","6,903,228","10,031,922","1,102,669","1,020,302","2,489,032","3,174,623","27,053",..,..,
Q3 1989,"27,276,781","576,551","130,153","903,841","735,129","6,925,128","10,103,305","1,103,792","1,019,439","2,498,325","3,196,725","27,167",..,..,
Q4 1989,"27,402,695","575,594","129,900","906,644","736,352","6,946,945","10,167,642","1,102,522","1,016,043","2,507,203","3,229,220","27,197",..,..,
Q1 1990,"27,463,550","576,278","130,336","907,394","737,307","6,955,119","10,189,985","1,102,752","1,011,429","2,520,056","3,247,419","27,605",..,..,
Q2 1990,"27,567,161","577,167","130,468","908,444","738,744","6,973,762","10,238,884","1,103,935","1,009,952","2,532,621","3,266,888","27,824",..,..,
Q3 1990,"27,691,138","577,368","130,404","910,451","740,156","6,996,986","10,295,832","1,105,421","1,007,727","2,547,788","3,292,111","27,957",..,..,
Q4 1990,"27,807,591","577,113","130,367","911,749","741,981","7,019,039","10,344,678","1,105,098","1,004,214","2,563,142","3,322,896","28,023",..,..,
Q1 1991,"27,854,861","577,377","130,477","912,792","743,210","7,026,241","10,355,101","1,106,196","1,002,651","2,572,947","3,339,935","28,223",..,..,
Q2 1991,"27,928,837","578,397","130,453","912,889","744,203","7,044,395","10,385,937","1,107,757","1,002,876","2,580,625","3,352,585","28,494",..,..,
Q3 1991,"28,037,420","579,644","130,369","914,969","745,567","7,067,396","10,431,316","1,109,604","1,002,713","2,592,306","3,373,787","28,871","38,724","22,154",
Q4 1991,"28,127,327","579,549","130,360","916,896","745,886","7,080,336","10,465,562","1,109,400","1,000,942","2,604,031","3,404,049","29,142","38,854","22,320",
Q1 1992,"28,181,477","579,425","130,604","917,302","746,571","7,082,645","10,488,022","1,109,978","1,001,136","2,611,786","3,423,217","29,239","39,055","22,497",
Q2 1992,"28,269,699","579,761","130,812","917,555","747,232","7,096,705","10,528,346","1,111,050","1,002,831","2,620,771","3,443,237","29,510","39,230","22,659",
Q3 1992,"28,371,264","580,109","130,827","919,451","748,121","7,110,010","10,572,205","1,112,689","1,003,995","2,632,672","3,468,802","30,084","39,416","22,883",
Q4 1992,"28,474,177","579,624","131,201","921,619","747,746","7,129,062","10,610,665","1,113,209","1,002,960","2,643,421","3,502,209","30,034","39,422","23,005",
Q1 1993,"28,533,602","580,819","131,564","922,128","747,892","7,137,514","10,629,994","1,114,180","1,003,443","2,650,886","3,522,509","29,964","39,538","23,171",
Q2 1993,"28,600,864","580,369","131,833","922,469","748,320","7,147,047","10,656,924","1,115,554","1,005,037","2,658,293","3,541,936","30,112","39,649","23,321",
Q3 1993,"28,684,764","579,977","132,177","923,925","748,812","7,156,537","10,690,038","1,117,618","1,006,900","2,667,292","3,567,772","30,337","39,820","23,559",
Q4 1993,"28,786,619","578,194","132,467","925,851","749,454","7,172,016","10,728,737","1,118,603","1,007,016","2,678,623","3,601,746","30,016","40,095","23,801",
Q1 1994,"28,835,772","577,128","132,752","925,852","749,531","7,177,923","10,744,762","1,119,284","1,007,554","2,683,346","3,623,717","29,670","40,273","23,980",
Q2 1994,"28,907,448","575,670","133,030","926,109","749,473","7,184,599","10,776,819","1,120,863","1,008,540","2,691,443","3,646,632","29,682","40,383","24,205",
Q3 1994,"29,000,663","574,466","133,437","926,871","750,185","7,192,403","10,819,146","1,123,230","1,009,575","2,700,606","3,676,075","29,684","40,578","24,407",
Q4 1994,"29,096,372","572,068","133,800","927,778","750,670","7,201,106","10,860,406","1,124,263","1,010,784","2,709,011","3,711,468","29,606","40,875","24,537",
Q1 1995,"29,141,902","570,563","134,060","927,395","750,819","7,205,074","10,875,308","1,124,947","1,011,784","2,715,701","3,730,564","29,882","41,114","24,691",
Q2 1995,"29,211,541","569,068","134,175","927,641","750,692","7,210,305","10,906,895","1,127,234","1,012,795","2,724,946","3,751,377","30,143","41,407","24,863",
Q3 1995,"29,302,311","567,397","134,415","928,120","750,943","7,219,219","10,950,119","1,129,150","1,014,187","2,734,519","3,777,390","30,442","41,432","24,978",
Q4 1995,"29,396,274","565,008","134,971","930,028","751,174","7,228,600","10,993,416","1,129,547","1,015,349","2,745,255","3,805,461","30,875","41,470","25,120",
Q1 1996,"29,446,857","563,679","135,119","929,782","751,581","7,232,952","11,009,307","1,130,288","1,016,198","2,753,463","3,826,739","30,963","41,495","25,291",
Q2 1996,"29,514,217","561,646","135,311","929,921","751,872","7,237,307","11,037,392","1,132,025","1,017,872","2,762,903","3,849,847","31,142","41,516","25,463",
Q3 1996,"29,610,218","559,698","135,737","931,327","752,268","7,246,897","11,082,903","1,134,196","1,018,945","2,775,133","3,874,317","31,387","41,741","25,669",
Q4 1996,"29,708,206","557,281","136,004","932,276","752,526","7,257,616","11,130,574","1,134,619","1,019,408","2,789,691","3,899,256","31,596","41,611","25,748",
Q1 1997,"29,751,536","555,432","135,935","932,349","752,334","7,262,945","11,146,270","1,134,997","1,018,326","2,799,561","3,914,490","31,633","41,528","25,736",
Q2 1997,"29,818,012","553,115","135,931","931,832","752,447","7,267,820","11,179,959","1,135,846","1,017,683","2,813,157","3,931,056","31,659","41,668","25,839",
Q3 1997,"29,905,948","550,911","136,095","932,402","752,511","7,274,611","11,227,651","1,136,128","1,017,902","2,829,848","3,948,583","31,797","41,625","25,884",
Q4 1997,"29,994,790","547,639","136,165","932,735","752,248","7,282,871","11,278,893","1,135,649","1,017,426","2,847,526","3,964,677","31,556","41,411","25,994",
Q1 1998,"30,028,506","545,769","135,938","932,549","751,969","7,286,008","11,292,059","1,135,770","1,017,504","2,859,305","3,972,821","31,510","41,222","26,082",
