Company No.,Tensile Strength of Steel Strand
1,"12,600"
1,"13,750"
1,"13,440"
1,"13,960"
1,"13,570"
1,"13,550"
1,"13,570"
1,"13,430"
1,"13,250"
1,"13,320"
1,"13,800"
1,"14,250"
1,"13,370"
1,"13,510"
1,"13,110"
1,"13,400"
1,"13,860"
1,"13,440"
1,"13,900"
1,"13,910"
2,"14,300"
2,"13,900"
2,"14,460"
2,"14,480"
2,"14,170"
2,"13,610"
2,"13,990"
2,"14,140"
2,"13,400"
2,"14,290"
2,"14,550"
2,"14,250"
2,"13,390"
2,"14,130"
2,"13,910"
2,"13,180"
2,"13,790"
2,"13,810"
2,"13,260"
2,"14,550"
